date,people_vaccinated,people_fully_vaccinated,total_boosters
1/1/2022,,,
1/2/2022,77796499,,
1/3/2022,77850611,,
1/4/2022,,,
1/5/2022,78110585,,
1/6/2022,78146683,,
1/7/2022,,,
1/8/2022,78247751,,
1/9/2022,78291624,,
1/10/2022,78389408,,
1/11/2022,78413199,,
1/12/2022,,,
1/13/2022,78527765,71946807,
1/14/2022,,,
1/15/2022,,,
1/16/2022,,,
1/17/2022,,,
1/18/2022,,,
1/19/2022,,,
1/20/2022,,,
1/21/2022,,,
1/22/2022,,,
1/23/2022,78894694,,
1/24/2022,78919564,,
1/25/2022,,,
1/26/2022,78987718,,
1/27/2022,,,
1/28/2022,79041734,,
1/29/2022,79055543,,
1/30/2022,79059864,,
1/31/2022,,,
2/1/2022,79078859,,
2/2/2022,79080702,,
2/3/2022,79080967,,
2/4/2022,79080967,74187748,
2/5/2022,,,
2/6/2022,,,
2/7/2022,,,
2/8/2022,79154392,,
2/9/2022,79162150,,
2/10/2022,79166489,76057017,29629103
2/11/2022,79203047,76112928,29938412
2/12/2022,79212013,76162865,30356256
2/13/2022,79216176,76182386,30602565
2/14/2022,,,
2/15/2022,,,
2/16/2022,,,
2/17/2022,,,
2/18/2022,,,
2/19/2022,,,35028147
2/20/2022,,,35300265
2/21/2022,,,35599393
2/22/2022,,,35952404
2/23/2022,,76747997,36467189
2/24/2022,,76764139,36632448
2/25/2022,,76773585,37027220
2/26/2022,,76783305,37146717
2/27/2022,,76799876,37343193
2/28/2022,79373871,77052498,38544133
3/1/2022,79381128,77071397,38856047
3/2/2022,79416167,77095637,39161165

