ma,province,doses
1,Hà Nội,18202132
2,Hà Giang,1592268
4,Cao Bằng,971718
6,Bắc Kạn,624232
8,Tuyên Quang,1505340
10,Lào Cai,1499083
11,Ðiện Biên,1123723
12,Lai Châu,817571
14,Sơn La,2119110
15,Yên Bái,1664682
17,Hoà Bình,1673595
19,Thái Nguyên,2609376
20,Lạng Sơn,1577627
22,Quảng Ninh,3168656
24,Bắc Giang,4140061
25,Phú Thọ,2962999
26,Vĩnh Phúc,2445006
27,Bắc Ninh,3357996
30,Hải Dương,3716894
31,Hải Phòng,4701719
33,Hưng Yên,2508999
34,Thái Bình,3533411
35,Hà Nam,1879038
36,Nam Ðịnh,3564965
37,Ninh Bình,2056591
38,Thanh Hóa,7385430
40,Nghệ An,6241110
42,Hà Tĩnh,2231611
44,Quảng Bình,1620721
45,Quảng Trị,1288263
46,Thừa Thiên Huế,2396200
48,Ðà Nẵng,2664509 
49,Quảng Nam,3208267
51,Quảng Ngãi,2543299
52,Bình Ðịnh,3175179
54,Phú Yên,1768363
56,Khánh Hòa,2919208
58,Ninh Thuận,1292244
60,Bình Thuận,2567364
62,Kon Tum,977895
64,Gia Lai,2838465
66,Ðắk Lắk,3615307
67,Ðắk Nông,1291743
68,Lâm Ðồng,2997279
70,Bình Phước,2171348
72,Tây Ninh,2595006
74,Bình Dương,6666291
75,Ðồng Nai,7013305
77,Bà Rịa - Vũng Tàu,2788790
79,Hồ Chí Minh,20438014
80,Long An,4465441
82,Tiền Giang,3984751
83,Bến Tre,3026606
84,Trà Vinh,2111123
86,Vĩnh Long,2366309
87,Ðồng Tháp,3347982
89,An Giang,4208319
91,Kiên Giang,3530463
92,Cần Thơ,2749024
93,Hậu Giang,1583322
94,Sóc Trăng,2711508
95,Bạc Liêu,1711369
96,Cà Mau,2415059
