date	daily_vaccinations
3/7/2021	
3/8/2021	377
3/9/2021	145
3/10/2021	433
3/11/2021	630
3/12/2021	3663
3/13/2021	4793
3/14/2021	1564
3/15/2021	426
3/16/2021	483
3/17/2021	3359
3/18/2021	3492
3/19/2021	3425
3/20/2021	139
3/21/2021	153
3/22/2021	2191
3/23/2021	1829
3/24/2021	1906
3/25/2021	2408
3/26/2021	1775
3/27/2021	278
3/28/2021	862
3/29/2021	1276
3/30/2021	184
3/31/2021	1487
4/1/2021	1473
4/2/2021	875
4/3/2021	244
4/4/2021	78
4/5/2021	455
4/6/2021	1085
4/7/2021	1198
4/8/2021	1208
4/9/2021	1678
4/10/2021	211
4/11/2021	170
4/12/2021	831
4/13/2021	890
4/14/2021	1889
4/15/2021	173
4/16/2021	2608
4/17/2021	1423
4/18/2021	11393
4/19/2021	1675
4/20/2021	26072
4/21/2021	1968
4/22/2021	19713
4/23/2021	47427
4/24/2021	22935
4/25/2021	1066
4/26/2021	50104
4/27/2021	59056
4/28/2021	106846
4/29/2021	80797
4/30/2021	12827
5/1/2021	
5/2/2021	
5/3/2021	
5/4/2021	
5/5/2021	
5/6/2021	
5/7/2021	
5/8/2021	
5/9/2021	
5/10/2021	
5/11/2021	
5/12/2021	
5/13/2021	17152
5/14/2021	10515
5/15/2021	7335
5/16/2021	2206
5/17/2021	
5/18/2021	
5/19/2021	
5/20/2021	
5/21/2021	
5/22/2021	
5/23/2021	
5/24/2021	
5/25/2021	
5/26/2021	
5/27/2021	
5/28/2021	
5/29/2021	
5/30/2021	
5/31/2021	
6/1/2021	
6/2/2021	
6/3/2021	45945
6/4/2021	61551
6/5/2021	25697
6/6/2021	5255
6/7/2021	91539
6/8/2021	14758
6/9/2021	35031
6/10/2021	21661
6/11/2021	34175
6/12/2021	8498
6/13/2021	44102
6/14/2021	54328
6/15/2021	95421
6/16/2021	125225
6/17/2021	217762
6/18/2021	242149
6/19/2021	126168
6/20/2021	63267
6/21/2021	
6/22/2021	
6/23/2021	57181
6/24/2021	293911
6/25/2021	167332
6/26/2021	211652
6/27/2021	87375
6/28/2021	110497
6/29/2021	96866
6/30/2021	18301
7/1/2021	36787
7/2/2021	28879
7/3/2021	24761
7/4/2021	23448
7/5/2021	1225
7/6/2021	24896
7/7/2021	32955
7/8/2021	22844
7/9/2021	26986
7/10/2021	29997
7/11/2021	10802
7/12/2021	12287
7/13/2021	15194
7/14/2021	67701
7/15/2021	38856
7/16/2021	48273
7/17/2021	27356
7/18/2021	22654
7/19/2021	21595
7/20/2021	31332
7/21/2021	31106
7/22/2021	4372
7/23/2021	67098
7/24/2021	56984
7/25/2021	7775
7/26/2021	133151
7/27/2021	266533
7/28/2021	308664
7/29/2021	208059
7/30/2021	401478
7/31/2021	27249
8/1/2021	211353
8/2/2021	543978
8/3/2021	332611
8/4/2021	26151
8/5/2021	507798
8/6/2021	467151
8/7/2021	368348
8/8/2021	509204
8/9/2021	581768
8/10/2021	1354277
8/11/2021	756957
8/12/2021	1157651
8/13/2021	516448
8/14/2021	661097
