type,date,value
people_vaccinated,07/03/2021,0
people_vaccinated,08/03/2021,377
people_vaccinated,09/03/2021,522
people_vaccinated,10/03/2021,955
people_vaccinated,11/03/2021,1585
people_vaccinated,12/03/2021,5248
people_vaccinated,13/03/2021,10041
people_vaccinated,14/03/2021,11605
people_vaccinated,15/03/2021,15865
people_vaccinated,16/03/2021,20695
people_vaccinated,17/03/2021,24054
people_vaccinated,18/03/2021,27546
people_vaccinated,19/03/2021,30971
people_vaccinated,20/03/2021,32361
people_vaccinated,21/03/2021,33891
people_vaccinated,22/03/2021,36082
people_vaccinated,23/03/2021,37911
people_vaccinated,24/03/2021,39817
people_vaccinated,25/03/2021,42225
people_vaccinated,26/03/2021,44000
people_vaccinated,27/03/2021,44278
people_vaccinated,28/03/2021,45140
people_vaccinated,29/03/2021,46416
people_vaccinated,30/03/2021,48256
people_vaccinated,31/03/2021,49743
people_vaccinated,01/04/2021,51216
people_vaccinated,02/04/2021,52091
people_vaccinated,03/04/2021,52335
people_vaccinated,04/04/2021,52413
people_vaccinated,05/04/2021,52868
people_vaccinated,06/04/2021,53953
people_vaccinated,07/04/2021,55151
people_vaccinated,08/04/2021,55151
people_vaccinated,09/04/2021,58037
people_vaccinated,10/04/2021,58248
people_vaccinated,11/04/2021,58418
people_vaccinated,12/04/2021,59249
people_vaccinated,13/04/2021,60139
people_vaccinated,14/04/2021,62028
people_vaccinated,15/04/2021,63758
people_vaccinated,16/04/2021,66366
people_vaccinated,17/04/2021,67789
people_vaccinated,18/04/2021,79182
people_vaccinated,19/04/2021,80857
people_vaccinated,20/04/2021,106929
people_vaccinated,21/04/2021,108897
people_vaccinated,22/04/2021,128610
people_vaccinated,23/04/2021,176037
people_vaccinated,24/04/2021,198972
people_vaccinated,25/04/2021,209632
people_vaccinated,26/04/2021,259736
people_vaccinated,27/04/2021,318792
people_vaccinated,28/04/2021,425638
people_vaccinated,29/04/2021,506435
people_vaccinated,30/04/2021,509855
people_vaccinated,01/05/2021,511435
people_vaccinated,02/05/2021,532247
people_vaccinated,03/05/2021,539062
people_vaccinated,04/05/2021,585539
people_vaccinated,05/05/2021,675956
people_vaccinated,06/05/2021,747827
people_vaccinated,07/05/2021,801957
people_vaccinated,08/05/2021,832635
people_vaccinated,09/05/2021,851513
people_vaccinated,10/05/2021,851513
people_vaccinated,11/05/2021,887705
people_vaccinated,12/05/2021,887705
people_vaccinated,13/05/2021,887705
people_vaccinated,14/05/2021,948655
people_vaccinated,15/05/2021,954520
people_vaccinated,16/05/2021,956677
people_vaccinated,17/05/2021,956677
people_vaccinated,18/05/2021,982543
people_vaccinated,19/05/2021,982543
people_vaccinated,20/05/2021,982543
people_vaccinated,21/05/2021,982543
people_vaccinated,22/05/2021,998698
people_vaccinated,23/05/2021,998698
people_vaccinated,24/05/2021,998698
people_vaccinated,25/05/2021,998698
people_vaccinated,26/05/2021,1005906
people_vaccinated,27/05/2021,1005906
people_vaccinated,28/05/2021,1005906
people_vaccinated,29/05/2021,1005906
people_vaccinated,30/05/2021,1005906
people_vaccinated,31/05/2021,1071497
people_vaccinated,01/06/2021,1071497
people_vaccinated,02/06/2021,1078934
people_vaccinated,03/06/2021,1124505
people_vaccinated,04/06/2021,1185206
people_vaccinated,05/06/2021,1209672
people_vaccinated,06/06/2021,1214916
people_vaccinated,07/06/2021,1301932
people_vaccinated,08/06/2021,1312741
people_vaccinated,09/06/2021,1342708
people_vaccinated,10/06/2021,1361525
people_vaccinated,11/06/2021,1392596
people_vaccinated,12/06/2021,1399836
people_vaccinated,13/06/2021,1443058
people_vaccinated,14/06/2021,1493043
people_vaccinated,15/06/2021,1584436
people_vaccinated,16/06/2021,1700972
people_vaccinated,17/06/2021,1901226
people_vaccinated,18/06/2021,2127352
people_vaccinated,19/06/2021,2244061
people_vaccinated,20/06/2021,2300960
people_vaccinated,21/06/2021,2300960
people_vaccinated,22/06/2021,2435313
people_vaccinated,23/06/2021,2488655
people_vaccinated,24/06/2021,2777127
people_vaccinated,25/06/2021,2937264
people_vaccinated,26/06/2021,3143744
people_vaccinated,27/06/2021,3229471
people_vaccinated,28/06/2021,3324110
people_vaccinated,29/06/2021,3411489
people_vaccinated,30/06/2021,3583939
people_vaccinated,01/07/2021,3609761
people_vaccinated,02/07/2021,3628241
people_vaccinated,03/07/2021,3648805
people_vaccinated,04/07/2021,3667519
people_vaccinated,05/07/2021,3676247
people_vaccinated,06/07/2021,3692431
people_vaccinated,07/07/2021,3719043
people_vaccinated,08/07/2021,3734268
people_vaccinated,09/07/2021,3752512
people_vaccinated,10/07/2021,3769374
people_vaccinated,11/07/2021,3774138
people_vaccinated,12/07/2021,3783505
people_vaccinated,13/07/2021,3795182
people_vaccinated,14/07/2021,3859995
people_vaccinated,15/07/2021,3890947
people_vaccinated,16/07/2021,3935719
people_vaccinated,17/07/2021,3956254
people_vaccinated,18/07/2021,3977431
people_vaccinated,19/07/2021,3995710
people_vaccinated,20/07/2021,4019161
people_vaccinated,21/07/2021,4042984
people_vaccinated,22/07/2021,4077099
people_vaccinated,23/07/2021,4125156
people_vaccinated,24/07/2021,4163388
people_vaccinated,25/07/2021,4223628
people_vaccinated,26/07/2021,4323571
people_vaccinated,27/07/2021,4562339
people_vaccinated,28/07/2021,4825209
people_vaccinated,29/07/2021,4983496
people_vaccinated,30/07/2021,5342483
people_vaccinated,31/07/2021,5583255
people_vaccinated,01/08/2021,5756155
people_vaccinated,02/08/2021,6246333
people_vaccinated,03/08/2021,6547477
people_vaccinated,04/08/2021,6774332
people_vaccinated,05/08/2021,7241093
people_vaccinated,06/08/2021,7664944
people_vaccinated,07/08/2021,8008156
people_vaccinated,08/08/2021,8460013
people_vaccinated,09/08/2021,8984300
people_vaccinated,10/08/2021,10305762
people_vaccinated,11/08/2021,11006121
people_vaccinated,12/08/2021,12064617
people_vaccinated,13/08/2021,12500947
people_vaccinated,14/08/2021,13078340
people_vaccinated,15/08/2021,13287434
people_vaccinated,16/08/2021,13869728
people_vaccinated,17/08/2021,14032444
people_vaccinated,18/08/2021,14359868
people_vaccinated,19/08/2021,14669827
people_vaccinated,20/08/2021,14787599
people_vaccinated,21/08/2021,15274648
people_vaccinated,22/08/2021,15530221
people_vaccinated,23/08/2021,15725040
people_vaccinated,24/08/2021,16056222
people_vaccinated,25/08/2021,16382658
people_vaccinated,26/08/2021,16607991
people_vaccinated,27/08/2021,16822691
people_vaccinated,28/08/2021,16999888
people_vaccinated,29/08/2021,17186153
people_vaccinated,30/08/2021,17347538
people_vaccinated,31/08/2021,17483818
people_vaccinated,01/09/2021,17660772
people_vaccinated,02/09/2021,17872356
people_vaccinated,03/09/2021,17998754
people_vaccinated,04/09/2021,18246636
people_vaccinated,05/09/2021,18673340
people_vaccinated,06/09/2021,19231238
