ma,province,age,dose1,dose2,dose3
1,Hà Nội,Age 5 to 11,145865,0,0
1,Hà Nội,Age 12 to 17,706123,683335,0
1,Hà Nội,Age 18 and over,6234434,6014607,4436914
2,Hà Giang,Age 5 to 11,11182,0,0
2,Hà Giang,Age 12 to 17,89616,87609,0
2,Hà Giang,Age 18 and over,492137,482299,245604
4,Cao Bằng,Age 5 to 11,11223,0,0
4,Cao Bằng,Age 12 to 17,46734,41767,0
4,Cao Bằng,Age 18 and over,351665,336292,173355
6,Bắc Cạn,Age 5 to 11,7776,0,0
6,Bắc Cạn,Age 12 to 17,26147,25257,0
6,Bắc Cạn,Age 18 and over,218610,209528,177739
8,Tuyên Quang,Age 5 to 11,4197,0,0
8,Tuyên Quang,Age 12 to 17,76946,75283,0
8,Tuyên Quang,Age 18 and over,494479,491270,355251
10,Lào Cai,Age 5 to 11,18831,0,0
10,Lào Cai,Age 12 to 17,83235,77676,0
10,Lào Cai,Age 18 and over,482548,459955,278977
11,Điện Biên,Age 5 to 11,26073,0,0
11,Điện Biên,Age 12 to 17,76484,63854,0
11,Điện Biên,Age 18 and over,337457,320684,92862
12,Lai Châu,Age 5 to 11,14219,0,0
12,Lai Châu,Age 12 to 17,55412,50077,0
12,Lai Châu,Age 18 and over,257701,248544,151359
14,Sơn La,Age 5 to 11,28140,0,0
14,Sơn La,Age 12 to 17,144888,135269,0
14,Sơn La,Age 18 and over,743100,715409,542628
15,Yên Bái,Age 5 to 11,19867,0,0
15,Yên Bái,Age 12 to 17,80872,77361,0
15,Yên Bái,Age 18 and over,519607,512105,396056
17,Hoà Bình,Age 5 to 11,4715,0,0
17,Hoà Bình,Age 12 to 17,77639,73709,0
17,Hoà Bình,Age 18 and over,561493,536374,306954
19,Thái Nguyên,Age 5 to 11,28680,0,0
19,Thái Nguyên,Age 12 to 17,111389,108915,0
19,Thái Nguyên,Age 18 and over,916705,888549,526085
20,Lạng Sơn,Age 5 to 11,15607,0,0
20,Lạng Sơn,Age 12 to 17,68745,63485,0
20,Lạng Sơn,Age 18 and over,512880,506976,440186
22,Quảng Ninh,Age 5 to 11,24082,0,0
22,Quảng Ninh,Age 12 to 17,124328,120979,0
22,Quảng Ninh,Age 18 and over,1013444,987870,900410
24,Bắc Giang,Age 5 to 11,20844,0,0
24,Bắc Giang,Age 12 to 17,149985,149460,0
24,Bắc Giang,Age 18 and over,1305661,1288142,1107369
25,Phú Thọ,Age 5 to 11,31650,0,0
25,Phú Thọ,Age 12 to 17,131870,131148,0
25,Phú Thọ,Age 18 and over,1004997,1007672,581800
26,Vĩnh Phúc,Age 5 to 11,10284,0,0
26,Vĩnh Phúc,Age 12 to 17,118199,115239,0
26,Vĩnh Phúc,Age 18 and over,796339,778681,459242
27,Bắc Ninh,Age 5 to 11,23964,0,0
27,Bắc Ninh,Age 12 to 17,117485,111579,0
27,Bắc Ninh,Age 18 and over,1138744,1098835,668782
30,Hải Dương,Age 5 to 11,18337,0,0
30,Hải Dương,Age 12 to 17,157247,155092,0
30,Hải Dương,Age 18 and over,1336461,1295294,809825
31,Hải Phòng,Age 5 to 11,210,0,0
31,Hải Phòng,Age 12 to 17,173649,174568,0
31,Hải Phòng,Age 18 and over,1699550,1627840,456392
33,Hưng Yên,Age 5 to 11,18514,0,0
33,Hưng Yên,Age 12 to 17,110591,110075,0
33,Hưng Yên,Age 18 and over,826764,803485,400508
34,Thái Bình,Age 5 to 11,31945,0,0
34,Thái Bình,Age 12 to 17,154582,148464,0
34,Thái Bình,Age 18 and over,1163834,1207414,631062
35,Hà Nam,Age 5 to 11,14457,0,0
