ma,province,total_doses,dose1_18andover,dose2_18andover,dose3_18andover,dose1_12to17,dose2_12to17,dose1_5to11,dose2_5to11,population_18andover,population_12to17,population_5to11,the_ratio_of_dose1_population_18andover,the_ratio_of_dose2_population_18andover,the_ratio_of_dose3_population_18andover,the_ratio_of_dose1_population_12to17,the_ratio_of_dose2_population_12to17,the_ratio_of_dose3_population_12to17,the_ratio_of_dose1_population_5to11,the_ratio_of_dose2_population_5to11,the_ratio_of_dose3_population_5to11
1,Hà Nội,18438644,6234434,6014607,4436914,706123,683335,145865,0,5449464,676050,945000,1,1,0.814,1,1,0,0.154,0,0
2,Hà Giang,1621595,492137,482299,245604,89616,87609,11182,0,490008,89928,135897,1,0.984,0.501,0.997,0.974,0,0.082,0,0
4,Cao Bằng,1035839,351665,336292,173355,46734,41767,11223,0,368973,44257,70458,0.953,0.911,0.47,1,0.944,0,0.159,0,0
6,Bắc Cạn,679702,218610,209528,177739,26147,25257,7776,0,220169,25202,39755,0.993,0.952,0.807,1,1.002,0,0.196,0,0
8,Tuyên Quang,1583958,494479,491270,355251,76946,75283,4197,0,488140,72401,122745,1,1,0.728,1,1,0,0.034,0,0
10,Lào Cai,1660311,482548,459955,278977,83235,77676,18831,0,445152,79914,114364,1,1,0.627,1,0.972,0,0.165,0,0
11,Điện Biên,1149796,337457,320684,92862,76484,63854,26073,0,339186,67539,99253,0.995,0.945,0.274,1,0.945,0,0.263,0,0
12,Lai Châu,886346,257701,248544,151359,55412,50077,14219,0,261410,52540,83177,0.986,0.951,0.579,1,0.953,0,0.171,0,0
14,Sơn La,2311796,743100,715409,542628,144888,135269,28140,0,737237,141675,186527,1,0.97,0.736,1,0.955,0,0.151,0,0
15,Yên Bái,1871884,519607,512105,396056,80872,77361,19867,0,510271,79169,119784,1,1,0.776,1,0.977,0,0.166,0,0
17,Hoà Bình,1788557,561493,536374,306954,77639,73709,4715,0,570146,73734,115613,0.985,0.941,0.538,1,1,0,0.041,0,0
19,Thái Nguyên,2802088,916705,888549,526085,111389,108915,28680,0,918061,107936,166828,0.999,0.968,0.573,1,1,0,0.172,0,0
20,Lạng Sơn,1607879,512880,506976,440186,68745,63485,15607,0,506403,65750,95009,1,1,0.869,1,0.966,0,0.164,0,0
22,Quảng Ninh,3192738,1013444,987870,900410,124328,120979,24082,0,1020234,121623,151613,0.993,0.968,0.883,1,0.995,0,0.159,0,0
24,Bắc Giang,4181205,1305661,1288142,1107369,149985,149460,20844,0,1280197,150059,260234,1,1,0.865,1,0.996,0,0.08,0,0
25,Phú Thọ,3181848,1004997,1007672,581800,131870,131148,31650,0,1010520,128757,211047,0.995,0.997,0.576,1,1,0,0.15,0,0
26,Vĩnh Phúc,2520978,796339,778681,459242,118199,115239,10284,0,789896,115958,172635,1,0.986,0.581,1,0.994,0,0.06,0,0
27,Bắc Ninh,3519907,1138744,1098835,668782,117485,111579,23964,0,1146710,116710,182176,0.993,0.958,0.583,1,0.956,0,0.132,0,0
30,Hải Dương,3882164,1336461,1295294,809825,157247,155092,18337,0,1344063,157641,242117,0.994,0.964,0.603,0.998,0.984,0,0.076,0,0
31,Hải Phòng,4711610,1699550,1627840,456392,173649,174568,210,0,1442515,168000,206458,1,1,0.316,1,1,0,0.001,0,0
33,Hưng Yên,2579227,826764,803485,400508,110591,110075,18514,0,826028,112803,161948,1,0.973,0.485,0.98,0.976,0,0.114,0,0
34,Thái Bình,3763303,1163834,1207414,631062,154582,148464,31945,0,1245000,150000,200000,0.935,0.97,0.507,1,0.99,0,0.16,0,0
35,Hà Nam,1926845,585031,577105,331816,71440,69259,14457,0,612219,72258,108982,0.956,0.943,0.542,0.989,0.958,0,0.133,0,0
36,Nam Định,3621099,1150273,1134762,923992,159064,158206,37442,0,1159000,159266,230518,0.992,0.979,0.797,1,0.993,0,0.162,0,0
37,Ninh Bình,2267319,675426,668271,430096,82255,79446,18929,0,665715,81762,123949,1,1,0.646,1,0.972,0,0.153,0,0
38,Thanh Hoá,7568256,2205107,2145276,1874212,288213,283647,50188,0,2204426,285497,469354,1,0.973,0.85,1,0.994,0,0.107,0,0
40,Nghệ An,6810858,2005436,1998146,1171437,281138,267952,16939,0,1960688,274429,461927,1,1,0.597,1,0.976,0,0.037,0,0
42,Hà Tĩnh,2396015,806308,760336,308234,114916,113130,9672,0,795436,115398,181514,1,0.956,0.388,0.996,0.98,0,0.053,0,0
