date,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred
07/03/2021,0,0,0,0
08/03/2021,377,0,0,0
09/03/2021,522,0,0,0
10/03/2021,955,0,0,0
11/03/2021,1585,0,0,0
12/03/2021,5248,0.0001,0,0
13/03/2021,10041,0.0001,0,0
14/03/2021,11605,0.0001,0,0
15/03/2021,15865,0.0002,0,0
16/03/2021,20695,0.0002,0,0
17/03/2021,24054,0.0002,0,0
18/03/2021,27546,0.0003,0,0
19/03/2021,30971,0.0003,0,0
20/03/2021,32361,0.0003,0,0
21/03/2021,33891,0.0003,0,0
22/03/2021,36082,0.0004,0,0
23/03/2021,37911,0.0004,0,0
24/03/2021,39817,0.0004,0,0
25/03/2021,42225,0.0004,0,0
26/03/2021,44000,0.0004,0,0
27/03/2021,44278,0.0005,0,0
28/03/2021,45140,0.0005,0,0
29/03/2021,46416,0.0005,0,0
30/03/2021,48256,0.0005,0,0
31/03/2021,49743,0.0005,0,0
01/04/2021,51216,0.0005,0,0
02/04/2021,52091,0.0005,0,0
03/04/2021,52335,0.0005,0,0
04/04/2021,52413,0.0005,0,0
05/04/2021,52868,0.0005,0,0
06/04/2021,53953,0.0005,0,0
07/04/2021,55151,0.0006,0,0
08/04/2021,0,0,0,0
09/04/2021,58037,0.0006,0,0
10/04/2021,58248,0.0006,0,0
11/04/2021,58418,0.0006,0,0
12/04/2021,59249,0.0006,0,0
13/04/2021,60139,0.0006,0,0
14/04/2021,62028,0.0006,0,0
15/04/2021,63758,0.0006,0,0
16/04/2021,66366,0.0007,0,0
17/04/2021,67789,0.0007,0,0
18/04/2021,79182,0.0008,0,0
19/04/2021,80857,0.0008,0,0
20/04/2021,106929,0.0011,0,0
21/04/2021,108897,0.0011,0,0
22/04/2021,128610,0.0013,0,0
23/04/2021,176037,0.0018,0,0
24/04/2021,198972,0.002,0,0
25/04/2021,209632,0.0021,0,0
26/04/2021,259736,0.0026,0,0
27/04/2021,318792,0.0032,0,0
28/04/2021,425638,0.0043,0,0
29/04/2021,506435,0.0052,0,0
30/04/2021,509855,0.0052,9407,0.0001
01/05/2021,511435,0.0052,0,0
02/05/2021,532247,0.0054,0,0
03/05/2021,539062,0.0055,0,0
04/05/2021,585539,0.006,0,0
05/05/2021,675956,0.0069,0,0
06/05/2021,747827,0.0076,0,0
07/05/2021,801957,0.0082,0,0
08/05/2021,832635,0.0085,0,0
09/05/2021,851513,0.0087,0,0
10/05/2021,0,0,0,0
11/05/2021,887705,0.009,0,0
12/05/2021,0,0,0,0
13/05/2021,0,0,0,0
14/05/2021,948655,0.0097,21042,0.0002
15/05/2021,954520,0.0097,22512,0.0002
16/05/2021,956677,0.0097,22561,0.0002
17/05/2021,0,0,0,0
18/05/2021,982543,0.01,28852,0.0003
19/05/2021,0,0,0,0
20/05/2021,0,0,0,0
21/05/2021,0,0,0,0
22/05/2021,998698,0.0102,28961,0.0003
23/05/2021,0,0,0,0
24/05/2021,0,0,0,0
25/05/2021,0,0,0,0
26/05/2021,1005906,0.0102,28961,0.0003
27/05/2021,0,0,0,0
28/05/2021,0,0,0,0
29/05/2021,0,0,0,0
30/05/2021,0,0,0,0
31/05/2021,1071497,0.0109,30602,0.0003
01/06/2021,0,0,0,0
02/06/2021,1078934,0.011,31177,0.0003
03/06/2021,1124505,0.0115,31551,0.0003
04/06/2021,1185206,0.0121,32401,0.0003
05/06/2021,1209672,0.0123,33632,0.0003
06/06/2021,1214916,0.0124,33643,0.0003
07/06/2021,1301932,0.0133,38166,0.0004
08/06/2021,1312741,0.0134,42115,0.0004
09/06/2021,1342708,0.0137,47179,0.0005
10/06/2021,1361525,0.0139,50023,0.0005
11/06/2021,1392596,0.0142,53127,0.0005
12/06/2021,1399836,0.0143,54385,0.0006
13/06/2021,1443058,0.0147,55265,0.0006
14/06/2021,1493043,0.0152,59608,0.0006
15/06/2021,1584436,0.0161,63636,0.0006
16/06/2021,1700972,0.0173,72325,0.0007
17/06/2021,1901226,0.0194,89833,0.0009
18/06/2021,2127352,0.0217,105856,0.0011
19/06/2021,2244061,0.0229,115315,0.0012
20/06/2021,2300960,0.0234,121683,0.0012
21/06/2021,0,0,0,0
22/06/2021,2435313,0.0248,133843,0.0014
23/06/2021,2488655,0.0254,137682,0.0014
24/06/2021,2777127,0.0283,143121,0.0015
25/06/2021,2937264,0.0299,150316,0.0015
26/06/2021,3143744,0.032,155488,0.0016
27/06/2021,3229471,0.0329,157136,0.0016
28/06/2021,3324110,0.0339,172994,0.0018
29/06/2021,3411489,0.0348,182481,0.0019
30/06/2021,3583939,0.0365,193041,0.002
01/07/2021,3609761,0.0368,204006,0.0021
02/07/2021,3628241,0.037,214405,0.0022
03/07/2021,3648805,0.0372,218602,0.0022
04/07/2021,3667519,0.0374,223336,0.0023
05/07/2021,3676247,0.0374,226858,0.0023
06/07/2021,3692431,0.0376,235570,0.0024
07/07/2021,3719043,0.0379,241913,0.0025
08/07/2021,3734268,0.038,249532,0.0025
09/07/2021,3752512,0.0382,258274,0.0026
10/07/2021,3769374,0.0384,271409,0.0028
11/07/2021,3774138,0.0384,277447,0.0028
12/07/2021,3783505,0.0385,280367,0.0029
13/07/2021,3795182,0.0387,283884,0.0029
14/07/2021,3859995,0.0393,286772,0.0029
15/07/2021,3890947,0.0396,294676,0.003
16/07/2021,3935719,0.0401,298177,0.003
17/07/2021,3956254,0.0403,304998,0.0031
18/07/2021,3977431,0.0405,306475,0.0031
19/07/2021,3995710,0.0407,309791,0.0032
20/07/2021,4019161,0.0409,317672,0.0032
21/07/2021,4042984,0.0412,324955,0.0033
22/07/2021,4077099,0.0415,334560,0.0034
23/07/2021,4125156,0.042,353601,0.0036
24/07/2021,4163388,0.0424,372353,0.0038
25/07/2021,4223628,0.043,389863,0.004
26/07/2021,4323571,0.044,423071,0.0043
27/07/2021,4562339,0.0465,450836,0.0046
28/07/2021,4825209,0.0492,496630,0.0051
29/07/2021,4983496,0.0508,546402,0.0056
30/07/2021,5342483,0.0544,588893,0.006
31/07/2021,5583255,0.0569,620611,0.0063
01/08/2021,5756155,0.0586,659064,0.0067
02/08/2021,6246333,0.0636,712864,0.0073
03/08/2021,6547477,0.0667,744331,0.0076
04/08/2021,6774332,0.069,778986,0.0079
05/08/2021,7241093,0.0738,820023,0.0084
06/08/2021,7664944,0.0781,863323,0.0088
07/08/2021,8008156,0.0816,888459,0.0091
08/08/2021,8460013,0.0862,945806,0.0096
09/08/2021,8984300,0.0915,1003287,0.0102
10/08/2021,10305762,0.105,1036102,0.0106
11/08/2021,11006121,0.1121,1092700,0.0111
12/08/2021,12064617,0.1229,1191855,0.0121
13/08/2021,12500947,0.1273,1271973,0.013
14/08/2021,13078340,0.1332,1355677,0.0138
15/08/2021,13287434,0.1354,1379274,0.0141
16/08/2021,13869728,0.1413,1401834,0.0143
17/08/2021,14032444,0.1429,1486425,0.0151
18/08/2021,14359868,0.1463,1562669,0.0159
19/08/2021,14669827,0.1494,1636372,0.0167
20/08/2021,14787599,0.1506,1707066,0.0174
21/08/2021,15274648,0.1556,1791248,0.0182
22/08/2021,15530221,0.1582,1834348,0.0187
23/08/2021,15725040,0.1602,1922313,0.0196
24/08/2021,16056222,0.1636,2039251,0.0208
25/08/2021,16382658,0.1669,2139545,0.0218
26/08/2021,16607991,0.1692,2235013,0.0228
27/08/2021,16822691,0.1714,2328431,0.0237
28/08/2021,16999888,0.1732,2431205,0.0248
29/08/2021,17186153,0.1751,2524407,0.0257
30/08/2021,17347538,0.1767,2619186,0.0267
31/08/2021,17483818,0.1781,2726563,0.0278
01/09/2021,17660772,0.1799,2881553,0.0294
02/09/2021,17872356,0.1821,2959122,0.0301
03/09/2021,17998754,0.1833,3047525,0.031
04/09/2021,18246636,0.1859,3198545,0.0326
05/09/2021,18673340,0.1902,3338783,0.034
06/09/2021,19231238,0.1959,3444406,0.0351
07/09/2021,19809234,0.2018,3768683,0.0384
08/09/2021,20591403,0.2098,4189782,0.0427
09/09/2021,21459102,0.2186,4467586,0.0455
10/09/2021,22367824,0.2279,4740764,0.0483
11/09/2021,23157067,0.2359,5056325,0.0515
12/09/2021,23954248,0.244,5326059,0.0543
13/09/2021,24727517,0.2519,5621403,0.0573
14/09/2021,25420169,0.2589,5834687,0.0594
15/09/2021,26307653,0.268,5988864,0.061
16/09/2021,26821906,0.2732,6184726,0.063
17/09/2021,27208264,0.2772,6347095,0.0647
18/09/2021,27577472,0.2809,6517771,0.0664
19/09/2021,27913529,0.2843,6640061,0.0676
20/09/2021,28288007,0.2882,6783707,0.0691
21/09/2021,28745680,0.2928,6930160,0.0706
22/09/2021,29094447,0.2964,7058109,0.0719
